,user_id,Tweet_punct,Anger,Fear,Sadness,Joy,Analytical,Confident,Tentative
0,768990818,"our  in  foot operated wash basin is now available for purchase follow the link to see a short video on how it works
httpstcokeeltwnpe

indiafightscorona covidindia coronavirus madeinindia staysafe supportlocal",0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,1146278157965770753,"covidindia state of the states daily positivity vs daily tests

ignore the thick blue regression line and pay attention to the dashed redline which indicates level of positivity and which way it is trended with an increase in tests
boxplots on the axes indicate averages
 httpstcowsiuphuat",0.0,0.0,0.0,0.0,0.683344,0.921316,0.0
2,1241969388187578368,"we wrapped some of our hoaxbusters as a youtubeindia video 

httpstcopumfarimd

do watch and share

covid covidindia 
credits wormlockholmes ramyashetty and sravanthi nandiminti",0.0,0.0,0.0,0.0,0.0,0.0,0.874805
3,121001058,ganjamadmin cmoodisha hfwodisha whats the reason behind increase of ve cases is increasing day by day in ganjam especially may god save all keep social distancing and save all covidindia ganjamtalks  odishafightscorona staysafe socialdistancing,0.0,0.0,0.0,0.0,0.641954,0.0,0.0
4,2880394076,vivekoberoi ihrithik can you guys please help the world with the antidote of corona covidindia coronavirus 🙂🙂🙂,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1926263750,plasma therapy should have been the mainstay of indias fight against covid we have  recovery among covid patients government must make plasma donation compulsory for anyone who recovers in a government facility covidindia,0.0,0.0,0.53518,0.0,0.0,0.0,0.0
6,823016006,"indiafightscorona 
choice is yours
covidindia httpstcozgrtyslujf",0.0,0.0,0.0,0.559996,0.952933,0.0,0.0
7,1167677791921307648,"jobless and hopeless need your blessings and support please reach us in our tough time  my family needs your support
helpneed help support corona covidindia ourpmo 
 narendramodi hmoindia",0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,1235073368958717953,covid safety products available covid mumbai vasai covidindia sanitizer n httpstcoprtldfase,0.0,0.0,0.0,0.0,0.87766,0.0,0.0
9,153268178,"loosing job and slashing off salery was it not enough that mybestelectric have hiked bill  from  to  cmomaharashtra what steps government taking for middle class people who are obedient tax payer of this city 
hospitalityflag chef covidindia covid",0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,421225776,siddaramaiah bjpindia narendramodi big blow to middle class people fuel is basic need from farmer to pm and using that to make money is harsh on daily lifes that too people have stopped using public transport due to covidindia and now center is using this opportunity to make money here,0.0,0.0,0.0,0.0,0.676622,0.0,0.0
11,2154547153,the maharashtra government on monday announced that it has extended the lockdown till july  in view of the steadily increasing covid cases in the state maharashtra officeofut authackeray covidindia,0.0,0.0,0.0,0.0,0.574477,0.0,0.0
12,1170885648,infographics covid india factsheet as on th june   am httpstcoxajlzhtegb dataportalindia mohfwindia nicmeity goimeity covidindia coronavirus indiafightscorona httpstcohkaeezvt,0.0,0.0,0.0,0.0,0.724236,0.660207,0.0
13,1272832435164606464,"hfwodisha the quarantine stamps are causing skin reaction   
this is the picture of my sister just returned yesterday 
quarantine covidindia odishafightscorona httpstcoszxubcikln",0.0,0.0,0.0,0.0,0.551743,0.0,0.884138
14,522343425,"please make a contribution i will give these masks to poor women because womens health is seldom a priority in households
covidindia pandemic httpstcoisqxaicjkf",0.0,0.0,0.0,0.0,0.51064,0.0,0.0
15,44328126,"pmoindia my grievance is directly related to covidindia i kindly request you to swiftly act on the same mohfwindia
earlier fssaiindia washed of its hand telling contact food safety commisioner of fssai in ap office never responds for any sort of communication httpstcownxgeueutg",0.0,0.0,0.0,0.0,0.0,0.0,0.689515
16,327270002,"maharashtra govt extends lockdown till july  nonessential longdistance travel barred
lockdownextension
maharashtralockdown
mumbaitraffic mumbai mumbaifightscovid coronavirus covidindia maharashtrafightscorona",0.0,0.0,0.591617,0.0,0.0,0.0,0.751891
17,438156528,"national  covid india recovery rate improves to  
india indianews covidindia indiafightscorona covid 
httpstcoxlywobse",0.0,0.0,0.0,0.0,0.0,0.0,0.0
