2020-06-29 12:18:55,"@chintanvarma Hola, the unroll you asked for: @ShamikaRavi: How is #Karnataka doing? #COVID19India #StateHealth After weeks of control, KA is now reporting a major… https://t.co/V2rpb8mjNQ Enjoy :) 🤖",895814938995957760
2020-06-29 12:18:42,"#TamilNadu | #COVID19India | 29 June 

●  TN - 3,949 ( highest )

●  Total Cases  - 86,224

●  Chennai - 2,167

●  Today's  Recoveries - 2,212

●  Today's Deaths - 62

#TNCoronaUpdates #CoronavirusIndia",1246759490617331713
2020-06-29 12:17:09,"I can't understand this #logic
#ModiGovernment has increased #fuel prices to counter #Corona.

#COVID19India #CoronaPandemic #PetrolPriceHike #DieselPriceHike #India 
#SpeakUpAgainstFuelHike
#Petrol #Diesel https://t.co/ZGmdd3DgHp",75746035
2020-06-29 12:15:36,"#Coronavirus in India LIVE: #Haryana to give plasma therapy to #COVID19 patients after ICMR nod
#COVID19India #CoronavirusIndia #Covid_19 #COVID 

https://t.co/MMz1jV8oSr",17710740
2020-06-29 12:15:28,"Maharashtra Lockdown extended till July 31
#COVID19India #Covid_19",1236152301775015936
2020-06-29 12:15:19,"This is a digital conference aimed to salute the corona warriors on Doctor's day.

Click Here To Register- https://t.co/PKxsNLkc7q

#Medtalks #Digitalconference2020 #Doctors #Coronawarriors #COVID19India https://t.co/cGpJLxkCD0",906073061857804289
2020-06-29 12:14:17,"COVID-19 tally in Andhra Pradesh spirals to 13,891 with addition of 783 new cases. Eleven more deaths take toll to 180
#COVID19India #AndhraPradesh",1236152301775015936
2020-06-29 12:12:18,"Join the webinar on ""IT Recruitment in the time of COVID19"". Register here https://t.co/PZdE9Aunur

#talentsprint #itrecruitment #webinar #webinars #ITjobs #placements #campusrecruitment #2020batch #ithiring #COVID19India #fresher #Students #btech https://t.co/ndDrNHMKYw",1243575862215110657
2020-06-29 12:09:48,"in today's day and age, wearing a mask defines your iq level #COVID19India #Corona",380192455
2020-06-29 12:07:57,"To fight with #COVID19India Its necessary to lockdown the Maharashtra till 31 July
#lockdownextension https://t.co/8STUuCNDXy",1200491922831200257
2020-06-29 12:07:32,Set new goals and achieve newer heights. #CASEIndia #construction #ConstructionEquipment #COVID19India #StaySafeIndia #unlockmonday #MondayMotivation https://t.co/xbLml0Xvbk,895237675501854722
2020-06-29 12:05:15,"@BangaloreMirror @DKShivakumar Meanwhile @CMofKarnataka @BSYBJP allocates Rs 5 Cr for memorial hall, #COVID19India #Covid19Karnataka https://t.co/T3WocxoI1X",2351457974
2020-06-29 12:04:40,"Badhi baate , gayan pehlma atha hai XYZ ko...... Bt khudk  kabhi nahi follow karega !

Stay safe Wear  Mask guys  , don't get influence by some irresponsible social figures !

#COVID19India 
#StaySafeStayHealthy",1214052531514425348
2020-06-29 12:03:48,#NTA y'all really need to postpone the goddamn exam because things are going out of hand now. #WakeupHRDpostponeNEETjee #PostponeNEETandJEE #PostponeJEEAndNEET #COVID19India #COVID #StudentLivesMatter #NoExamsInCovid19 @DrRPNishank @DG_NTA @narendramodi https://t.co/QQlz3hcchj,1071112567169241088
2020-06-29 12:02:01,The scale of the crisis is only matched by the scale of this incredible response from @AkshayaPatra. Their #COVID19India relief effort by the numbers 👇🏾 https://t.co/8dAHeVLgcA,2993275739
